,RanFor_Temp_MSE,RanFor_Temp_MAE,RanFor_Wind_MSE,RanFor_Wind_MAE,KNN_Temp_MSE,KNN_Temp_MAE,KNN_Wind_MSE,KNN_Wind_MAE,SVM_Temp_MSE,SVM_Temp_MAE,SVM_Wind_MSE,SVM_Wind_MAE,Number_Lags,Step_Size
0,0.03396162692960731,0.14321095556816202,0.3798269416764385,0.4588166361130628,0.0386179827282308,0.14520944054376328,0.5100410552664537,0.5304401322944833,0.018589912053615657,0.10045884848669698,0.3482835095668219,0.43514243124341184,3,1
1,0.03396162692960731,0.14321095556816196,0.37982694167643843,0.4588166361130629,0.04495060105254219,0.15710852145737073,0.5061199345847924,0.5277979932946906,0.018250206104433935,0.09950528385661683,0.34483484126274944,0.43318029188192975,4,1
2,0.033961626929607316,0.14321095556816194,0.3798222821547417,0.4588111950309707,0.052103305621769465,0.1696988974756182,0.4997781842170591,0.5268404203791508,0.018002448296762768,0.09870381479534769,0.3424587073492,0.4318143782825983,5,1
3,0.033961626929607316,0.14321095556816196,0.3798222821547417,0.4588111950309707,0.057325876750048896,0.1779794513035557,0.4989115349736393,0.5267241776968665,0.017750603108125432,0.09791883701724864,0.3408655963692222,0.4309103827007067,6,1
4,0.033961626929607316,0.14321095556816202,0.3798222821547417,0.4588111950309707,0.06171457911506583,0.18427885452673207,0.4971911307763877,0.5266498586049142,0.017465968452010858,0.09709673290017677,0.33995258748726076,0.430462816192281,7,1
5,0.08051061354024981,0.22038721519902277,0.5534506799749143,0.5684097278053245,0.08556134582999324,0.21327484363802215,0.6869337710014508,0.6271235540712474,0.04597596992460785,0.1559293507782458,0.4843039517098512,0.5229149157884125,3,2
6,0.0805106135402498,0.22038721519902268,0.5528964160063199,0.5681724313445915,0.09153503780487171,0.22042572009984063,0.6835591824331375,0.6230588714267772,0.04226110248586607,0.14953155841164487,0.4783080259853747,0.5197183740255225,4,2
7,0.08051061354024981,0.22038721519902268,0.5522224049198616,0.5678493941195617,0.09559179798472824,0.2249865817048437,0.6662891391817134,0.6159680678074271,0.038931072120671616,0.14337439403240848,0.47274291575920224,0.5164181870493789,5,2
8,0.08051061354024984,0.2203872151990227,0.5522185608119912,0.5678488314696785,0.09285356539336521,0.22112169877565027,0.6503863823580146,0.6087067114001352,0.036243971401718256,0.13841051887348413,0.46956515028841117,0.5145944921566009,6,2
9,0.08009646170803975,0.22069046304622197,0.5522185608119912,0.5678488314696785,0.08713350344001482,0.21322426106938996,0.6272377450644446,0.5959238275843333,0.03316292002326912,0.1324081895130557,0.46552903142937463,0.512347915034794,7,2
10,0.1481159536692445,0.29717973852702084,0.6832494168961312,0.63878372934433,0.1376690343982101,0.2662938059926702,0.8000649350017572,0.679854855429173,0.08062313363161608,0.2063736044579598,0.5781313844732456,0.5750947152582604,3,3
11,0.14771674308879004,0.29717087757788385,0.6820972027212203,0.638375866731864,0.12465474623130696,0.25265712017512343,0.7788256360299973,0.6684516388588451,0.06702117136039584,0.18670271887659046,0.5675097805359817,0.5698388112406672,4,3
12,0.14378123266569157,0.29998088426988556,0.6820632476156316,0.6383592794918936,0.11122719374033996,0.23781019956733962,0.7521542897483114,0.6559555505132695,0.054965512841502924,0.1692681283947598,0.5549391896454772,0.5635559023994773,5,3
13,0.13090236874823188,0.2891202006272377,0.6758328216108357,0.6360477508632097,0.08823293651272238,0.21419095015880532,0.7094902544367316,0.6343267891373968,0.03927090119794352,0.14431614041194152,0.5414845327777913,0.5570544843931713,6,3
14,0.08621560104466977,0.225746369187844,0.652377888961081,0.624479771959578,0.07024432096753011,0.19294158776211284,0.6685181029022125,0.6141100905086188,0.03358678763585475,0.133426140987826,0.5301090116246776,0.551658654464179,7,3
15,0.24199166791214893,0.3938171953228343,0.7820025842753375,0.6900245622850875,0.17073308468542178,0.2936430514807122,0.8857200616311653,0.7161301947728834,0.1081139704373578,0.23826210266134878,0.6400679613664333,0.6077242468499836,3,4
16,0.22158224829839857,0.38463052437822615,0.7811766119458111,0.6897832251856614,0.1337282902827502,0.2587307752679229,0.8351732990724289,0.6919450471956246,0.07711274268728456,0.2005348924241978,0.6177862254227543,0.5969717256478169,4,4
17,0.1433656814450385,0.29700386974742743,0.7534674906634382,0.677121319335068,0.08773106274120399,0.21603815062811443,0.7851982015643734,0.6669300030915647,0.045780999942184125,0.15581676680526502,0.590744237662755,0.5832442503705502,5,4
18,0.08903316423063659,0.21815751420944482,0.7143098937751348,0.6541843714549245,0.07078014937236987,0.1948159529442059,0.7302457990016551,0.641491911848699,0.03984346182925375,0.14495669724971588,0.5709080136043589,0.571941263325379,6,4
19,0.08903316423063659,0.2181575142094448,0.7143098937751348,0.6541843714549245,0.0694187956444928,0.1926802444908465,0.6931435188113666,0.6228444894307608,0.03830392720321909,0.14179972519467074,0.5643705877779309,0.5688295838555674,7,4
